map,action_seq
" 1  0  0  0
  0  2  0  0
  0  0  0 -1
 -1  0  0  0","['down', 'right']"
" 1  0  0  0
  2  0 -1  0
  0  0  0  0
  0  0  0 -1",['right']
" 1  0  0  0
  0  0  0  0
  0  0 -1 -1
  0  0  2  0","['down', 'down', 'right', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'right', 'right', 'up']"
" 1 -1  0  0
  2  0  0  0
  0  0  0 -1
  0  0  0  0",['right']
" 1  0  0  0
  0  0  0  0
  2 -1  0 -1
  0  0  0  0","['right', 'right']"
" 1  0  0  2
  0  0  0  0
 -1 -1  0  0
  0  0  0  0","['down', 'left', 'down', 'down']"
" 1 -1  0  0
  0 -1  0  0
  2  0  0  0
  0  0  0  0","['down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'right', 'right']"
" 1  0  2  0
  0  0  0  0
  0  0  0  0
 -1 -1  0  0","['left', 'down', 'down']"
" 1  0  0  0
 -1  0  0  0
 -1  0  0  0
  2  0  0  0","['down', 'down', 'up', 'up', 'down', 'left', 'up', 'down', 'up', 'down', 'down', 'down', 'left', 'left', 'up', 'down', 'up', 'down', 'left', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'left', 'left', 'down', 'left', 'up', 'left', 'up', 'down', 'up', 'down', 'down', 'left', 'left', 'up', 'left', 'up', 'up', 'up', 'down', 'left', 'left', 'left', 'down', 'down', 'up', 'left', 'down', 'up', 'up', 'down', 'left', 'up', 'left', 'down', 'up', 'up', 'down', 'left', 'down', 'up', 'down', 'down', 'left', 'left', 'up', 'down', 'down', 'down', 'up', 'up', 'left', 'left', 'down', 'left', 'down', 'left', 'up', 'left', 'left', 'up', 'up', 'down', 'up', 'down', 'up', 'left', 'down', 'down', 'left', 'left', 'left', 'down', 'left', 'down', 'left', 'up', 'down', 'up', 'left', 'down', 'up', 'left', 'down', 'up', 'up', 'down', 'left', 'left', 'down', 'down', 'down', 'left', 'up', 'left', 'left', 'up', 'left', 'down', 'down', 'down', 'down', 'up', 'down', 'up', 'down', 'down', 'left', 'left', 'left', 'up', 'left', 'up', 'down', 'up', 'left', 'left', 'up', 'up', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'down', 'up', 'down', 'up', 'down', 'down', 'down', 'left', 'down', 'up', 'down', 'left', 'right', 'up', 'left', 'up', 'up', 'down', 'down', 'down', 'down', 'down', 'left', 'down', 'left', 'left', 'up', 'down', 'up', 'left', 'up', 'down', 'left', 'left', 'up', 'left', 'down', 'down', 'left', 'down', 'left', 'down', 'up', 'down', 'left', 'up', 'up', 'left', 'left', 'up', 'left', 'down', 'left', 'up', 'up', 'up', 'down', 'up', 'down', 'right', 'right', 'up', 'right']"
" 1  0  0  0
  0  0  0  0
  0  2 -1 -1
  0  0  0  0","['down', 'right', 'right']"
" 1  0 -1  0
  0  0  0  0
  0  0  0  0
 -1  2  0  0","['up', 'right', 'right', 'up', 'down', 'up', 'down', 'right']"
" 1  0  0  0
  0  0 -1 -1
  0  0  0  0
  0  0  2  0","['up', 'left', 'down', 'right', 'right', 'right', 'down']"
" 1  0  0  0
  0  0 -1  0
  0  2  0  0
  0  0 -1  0","['up', 'left', 'down', 'up', 'right', 'right', 'down']"
" 1  0  0  0
  0  0  2 -1
 -1  0  0  0
  0  0  0  0","['down', 'down', 'right']"
" 1  0  0  0
  0  0  0  0
  0  0  0  2
 -1 -1  0  0","['down', 'right', 'down', 'down', 'right']"
" 1  0  0 -1
  0 -1  0  2
  0  0  0  0
  0  0  0  0","['down', 'down', 'down', 'right']"
" 1  0  0 -1
  0 -1  0  0
  0  0  0  0
  2  0  0  0","['down', 'down', 'down', 'left', 'left', 'right', 'right', 'up', 'right', 'left', 'right', 'down', 'down', 'right', 'up', 'left', 'right', 'down', 'down', 'left', 'up', 'right', 'left', 'right', 'left', 'left', 'down', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'up', 'right', 'left', 'up', 'up', 'right']"
" 1  0  0 -1
  0  0  0  0
  0  0  0 -1
  0  0  2  0","['right', 'down', 'down', 'right', 'right']"
" 1 -1  2  0
  0  0  0  0
  0  0  0  0
  0  0 -1  0","['down', 'right', 'down', 'left']"
" 1  0  0  0
  0  0  0  0
 -1  0  2 -1
  0  0  0  0","['down', 'right', 'down', 'right']"
" 1  2 -1 -1
  0  0  0  0
  0  0  0  0
  0  0  0  0",['down']
" 1  0  0  0
  0  0  0  2
  0  0  0 -1
  0  0 -1  0","['right', 'down', 'down', 'down']"
" 1  0  0 -1
  0  0  2  0
  0  0  0 -1
  0  0  0  0","['right', 'down', 'down']"
" 1  0  0  2
 -1  0  0  0
  0  0  0  0
  0 -1  0  0","['down', 'down', 'down']"
" 1 -1  0  0
  0  0  0 -1
  0  0  0  0
  2  0  0  0","['right', 'right', 'right']"
" 1  0  0  0
  0 -1  0  2
  0 -1  0  0
  0  0  0  0","['down', 'down', 'right', 'down']"
" 1  0 -1  0
 -1  0  0  0
  0  0  2  0
  0  0  0  0","['right', 'right', 'down', 'down']"
" 1  0  0  0
  0 -1  0  0
  2 -1  0  0
  0  0  0  0","['down', 'right', 'right', 'up']"
" 1  0  0  0
  0  0  0  0
  0  2 -1  0
  0  0 -1  0","['down', 'right', 'right']"
" 1  0  2 -1
  0  0  0  0
  0  0  0 -1
  0  0  0  0","['down', 'down']"
" 1 -1 -1  0
  0  0  0  0
  0  0  0  0
  2  0  0  0","['right', 'up', 'right', 'right']"
" 1  0  0 -1
  0  0  0  0
  0 -1  0  0
  2  0  0  0","['right', 'down', 'right', 'right', 'up']"
" 1  0  0 -1
  2  0  0  0
  0  0  0 -1
  0  0  0  0",['right']
" 1 -1  0  0
  0  0  0  0
  0  2  0 -1
  0  0  0  0","['right', 'right', 'down']"
